Date,Forecast,Lower Bound,Upper Bound,Day,Month,Year,DD,GDD,Growth Stage
2021-12-02,13.136933430744769,11.781221277931577,14.49264558355796,2,12,2021,13.14,13.14,Before 2-3 Leaf
2021-12-03,7.592278987563574,6.226809123837121,8.957748851290027,3,12,2021,7.59,20.73,Before 2-3 Leaf
2021-12-04,8.156485058737365,6.787115956941616,9.525854160533116,4,12,2021,8.16,28.89,Before 2-3 Leaf
2021-12-05,12.161175309411798,10.791308004478903,13.531042614344692,5,12,2021,12.16,41.05,Before 2-3 Leaf
2021-12-06,8.633251458102716,7.263121302874698,10.003381613330736,6,12,2021,8.63,49.68,Before 2-3 Leaf
2021-12-07,6.214493815465907,4.844180212018972,7.584807418912843,7,12,2021,6.21,55.89,Before 2-3 Leaf
2021-12-08,8.711053447539053,7.340572115300295,10.08153477977781,8,12,2021,8.71,64.6,Before 2-3 Leaf
2021-12-09,12.692695589648013,11.32205162407709,14.063339555218931,9,12,2021,12.69,77.29,Before 2-3 Leaf
2021-12-10,14.264923395745464,12.894118112071624,15.635728679419302,10,12,2021,14.26,91.55,Before 2-3 Leaf
2021-12-11,13.911895777491091,12.540929584976258,15.282861970005923,11,12,2021,13.91,105.46000000000001,Before 2-3 Leaf
2021-12-12,11.555837873120744,10.184710897306038,12.92696484893545,12,12,2021,11.56,117.02,Before 2-3 Leaf
2021-12-13,16.056941365815398,14.685653656562051,17.428229075068742,13,12,2021,16.06,133.07999999999998,Before 2-3 Leaf
2021-12-14,14.819374596793809,13.447926181617843,16.190823011969773,14,12,2021,14.82,147.9,Before 2-3 Leaf
2021-12-15,14.38607363849528,13.014464538713204,15.757682738277357,15,12,2021,14.39,162.29,Before 2-3 Leaf
2021-12-16,13.51895487683359,12.147185111969844,14.890724641697334,16,12,2021,13.52,175.81,Before 2-3 Leaf
2021-12-17,14.896096228316246,13.524165817386308,16.268026639246184,17,12,2021,14.9,190.71,Before 2-3 Leaf
2021-12-18,16.115009313200684,14.742918275069917,17.487100351331453,18,12,2021,16.12,206.82999999999998,Before 2-3 Leaf
2021-12-19,13.80916393288629,12.43691228637284,15.18141557939974,19,12,2021,13.81,220.64,Before 2-3 Leaf
2021-12-20,12.688367174380035,11.315954938283893,14.060779410476178,20,12,2021,12.69,233.32999999999998,Before 2-3 Leaf
2021-12-21,14.981605129379044,13.609032322490323,16.354177936267764,21,12,2021,14.98,248.31,Before 2-3 Leaf
2021-12-22,9.50256435415955,8.12983099526084,10.87529771305826,22,12,2021,9.5,257.81,Before 2-3 Leaf
2021-12-23,8.990154669914594,7.617260777781629,10.363048562047558,23,12,2021,8.99,266.8,Before 2-3 Leaf
2021-12-24,8.87956401803248,7.506509611434337,10.252618424630624,24,12,2021,8.88,275.68,Before 2-3 Leaf
2021-12-25,7.723349711106454,6.350134808805601,9.096564613407308,25,12,2021,7.72,283.4,Before 2-3 Leaf
2021-12-26,14.416514252631002,13.043138873383327,15.789889631878676,26,12,2021,14.42,297.82,Before 2-3 Leaf
2021-12-27,7.779456064317619,6.405920226872434,9.152991901762803,27,12,2021,7.78,305.6,Before 2-3 Leaf
2021-12-28,10.27520895465284,8.901512677752885,11.648905231552794,28,12,2021,10.28,315.88,Before 2-3 Leaf
2021-12-29,9.01925478007089,7.64539808245234,10.39311147768944,29,12,2021,9.02,324.9,Before 2-3 Leaf
2021-12-30,5.809703821286014,4.435686721678481,7.183720920893547,30,12,2021,5.81,330.71,Before 2-3 Leaf
2021-12-31,6.514828637789977,5.1406511549165135,7.88900612066344,31,12,2021,6.51,337.21999999999997,Before 2-3 Leaf
2022-01-01,8.502433323870296,7.1280954764474,9.876771171293193,1,1,2022,8.5,8.5,Before 2-3 Leaf
2022-01-02,6.828963658046167,5.454465464783786,8.203461851308548,2,1,2022,6.83,15.33,Before 2-3 Leaf
